N,k,beta,rho,gamma,nonstat,imbal,kind,mean_eps,global_rate,global_lo,global_hi,global_n,strat_rate,strat_lo,strat_hi,strat_n,local_rate,local_lo,local_hi,local_n,circ_rate,circ_lo,circ_hi,circ_n
30,2,0.0,0.5,0.0,True,4.0,type_I,0.0443,0.0502,0.0306,0.0811,299,0.037,0.0208,0.0651,297,0.0635,0.0411,0.0971,299,0.087,0.06,0.1244,299
30,2,0.0,0.5,0.8,True,4.0,power,0.121,0.2508,0.2051,0.3029,299,0.2256,0.1817,0.2765,297,0.2642,0.2175,0.317,299,0.2742,0.2268,0.3274,299
30,2,2.0,0.0,0.0,False,1.0,type_I,0.0377,0.0435,0.0256,0.073,299,0.0301,0.0159,0.0562,299,0.0435,0.0256,0.073,299,0.0736,0.0491,0.1089,299
30,2,2.0,0.0,0.8,False,1.0,power,0.0711,0.1267,0.0933,0.1698,292,0.0925,0.0643,0.1312,292,0.1233,0.0904,0.166,292,0.1336,0.0993,0.1774,292
30,2,2.0,0.0,0.0,False,4.0,type_I,0.0322,0.0372,0.0209,0.0653,296,0.0204,0.0094,0.0438,294,0.0439,0.0258,0.0737,296,0.0811,0.0551,0.1178,296
30,2,2.0,0.0,0.8,False,4.0,power,0.0857,0.1385,0.1038,0.1825,296,0.1119,0.0808,0.1529,295,0.1385,0.1038,0.1825,296,0.1824,0.1426,0.2304,296
30,2,2.0,0.0,0.0,True,1.0,type_I,0.0391,0.0535,0.0332,0.0851,299,0.0301,0.0159,0.0562,299,0.0468,0.0281,0.077,299,0.0936,0.0656,0.132,299
30,2,2.0,0.0,0.8,True,1.0,power,0.1115,0.204,0.1622,0.2533,299,0.1672,0.1292,0.2137,299,0.204,0.1622,0.2533,299,0.2575,0.2113,0.3099,299
30,2,2.0,0.0,0.0,True,4.0,type_I,0.0377,0.0235,0.0114,0.0477,298,0.0168,0.0072,0.0388,297,0.0336,0.0183,0.0607,298,0.0906,0.063,0.1286,298
30,2,2.0,0.0,0.8,True,4.0,power,0.1098,0.2074,0.1653,0.2569,299,0.1785,0.1391,0.226,297,0.214,0.1713,0.264,299,0.2375,0.1927,0.2888,299
30,2,2.0,0.5,0.0,False,1.0,type_I,0.0388,0.0368,0.0207,0.0647,299,0.0134,0.0052,0.0339,299,0.0201,0.0092,0.0431,299,0.0736,0.0491,0.1089,299
30,2,2.0,0.5,0.8,False,1.0,power,0.0755,0.1186,0.0866,0.1605,295,0.1017,0.0722,0.1415,295,0.139,0.1041,0.1831,295,0.1593,0.122,0.2054,295
30,2,2.0,0.5,0.0,False,4.0,type_I,0.0415,0.0235,0.0114,0.0477,298,0.0102,0.0035,0.0295,295,0.0503,0.0307,0.0814,298,0.0772,0.052,0.1131,298
30,2,2.0,0.5,0.8,False,4.0,power,0.0797,0.1229,0.0901,0.1654,293,0.1073,0.0766,0.1482,289,0.1502,0.1138,0.1956,293,0.1706,0.1319,0.2179,293
30,2,2.0,0.5,0.0,True,1.0,type_I,0.0423,0.0433,0.0255,0.0727,300,0.0267,0.0136,0.0517,300,0.0367,0.0206,0.0645,300,0.08,0.0543,0.1163,300
30,2,2.0,0.5,0.8,True,1.0,power,0.1042,0.2013,0.1597,0.2505,298,0.1644,0.1267,0.2107,298,0.1946,0.1537,0.2434,298,0.2517,0.2058,0.3039,298
30,2,2.0,0.5,0.0,True,4.0,type_I,0.0379,0.0441,0.0259,0.0739,295,0.0375,0.0211,0.066,293,0.0373,0.0209,0.0655,295,0.0712,0.047,0.1064,295
30,2,2.0,0.5,0.8,True,4.0,power,0.098,0.1897,0.1487,0.2387,290,0.1603,0.1224,0.2072,287,0.1897,0.1487,0.2387,290,0.2276,0.1831,0.2792,290
39,2,0.0,0.0,0.0,False,1.0,type_I,0.024,0.0633,0.0409,0.0968,300,0.05,0.0305,0.0808,300,0.0633,0.0409,0.0968,300,0.07,0.0462,0.1046,300
39,2,0.0,0.0,0.8,False,1.0,power,0.095,0.2819,0.2338,0.3355,298,0.2651,0.2182,0.318,298,0.2785,0.2307,0.332,298,0.2752,0.2276,0.3285,298
39,2,0.0,0.0,0.0,False,4.0,type_I,0.0331,0.0303,0.016,0.0566,297,0.0269,0.0137,0.0522,297,0.0337,0.0184,0.0609,297,0.0707,0.0467,0.1057,297
39,2,0.0,0.0,0.8,False,4.0,power,0.1178,0.3054,0.2558,0.3599,298,0.2819,0.2338,0.3355,298,0.3054,0.2558,0.3599,298,0.3221,0.2716,0.3772,298
